inventory_id,fig_num,quantity
3,fig-001549,1
4,fig-000764,1
19,fig-000555,1
25,fig-000574,1
27,fig-000359,1
34,fig-001539,1
42,fig-001079,1
54,fig-001155,1
63,fig-000061,2
65,fig-000539,1
67,fig-000419,1
73,fig-002163,1
73,fig-002164,1
73,fig-002165,1
73,fig-002166,1
84,fig-001047,1
86,fig-001309,1
100,fig-001429,1
102,fig-001216,1
105,fig-000419,1
106,fig-000255,1
112,fig-002423,2
112,fig-002424,1
112,fig-002425,1
112,fig-002426,1
118,fig-000320,1
123,fig-002587,1
123,fig-002588,1
132,fig-000707,1
173,fig-001111,1
179,fig-000194,1
182,fig-001329,1
185,fig-000175,1
194,fig-000227,1
206,fig-002267,1
206,fig-002268,1
206,fig-002271,1
206,fig-002272,1
206,fig-002274,1
206,fig-002276,1
212,fig-001043,1
220,fig-000339,1
221,fig-001205,1
224,fig-001508,1
226,fig-000125,1
232,fig-000487,1
233,fig-002161,1
238,fig-000352,1
243,fig-001442,1
258,fig-001081,1
259,fig-001172,1
262,fig-001053,1
268,fig-000648,1
276,fig-001157,1
286,fig-000768,1
294,fig-000864,1
299,fig-001399,1
301,fig-000061,1
302,fig-000510,1
303,fig-000263,1
326,fig-001029,1
334,fig-001351,1
335,fig-000236,2
337,fig-000341,2
350,fig-000065,3
357,fig-000149,1
369,fig-000068,1
374,fig-000692,1
378,fig-000956,1
385,fig-000729,1
397,fig-000656,1
401,fig-000130,1
404,fig-000807,1
411,fig-000100,1
434,fig-002773,1
434,fig-002774,1
434,fig-002775,1
440,fig-000312,1
446,fig-000020,1
447,fig-001561,1
452,fig-000397,1
457,fig-000504,1
472,fig-000195,1
477,fig-001147,1
498,fig-001134,2
502,fig-000775,1
512,fig-001024,1
517,fig-000560,1
538,fig-000853,1
547,fig-000532,1
551,fig-000523,1
560,fig-000262,1
575,fig-000090,1
576,fig-000023,1
587,fig-000738,1
589,fig-000186,1
591,fig-001293,1
595,fig-000472,1
599,fig-001529,1
601,fig-000675,1
603,fig-000449,1
613,fig-001499,1
637,fig-001516,1
642,fig-000052,1
647,fig-000109,1
647,fig-000447,1
647,fig-002512,1
653,fig-001436,1
655,fig-001348,1
659,fig-000252,1
660,fig-000129,1
676,fig-000219,1
680,fig-000653,1
685,fig-000837,1
706,fig-000045,1
722,fig-000669,1
728,fig-000070,1
728,fig-000406,1
741,fig-000588,1
751,fig-000208,1
755,fig-000109,1
763,fig-000198,1
780,fig-000259,1
786,fig-001411,1
791,fig-000097,1
808,fig-000070,1
808,fig-000406,1
811,fig-000697,1
827,fig-000919,1
840,fig-000536,1
844,fig-000271,1
856,fig-001261,1
866,fig-000248,1
870,fig-000027,1
875,fig-000610,1
899,fig-000315,1
911,fig-000249,1
915,fig-001307,1
926,fig-000697,1
932,fig-000722,1
970,fig-000869,1
987,fig-000535,1
988,fig-000165,1
995,fig-002491,1
995,fig-002492,1
995,fig-002493,1
995,fig-002495,1
995,fig-002496,1
995,fig-002497,1
995,fig-002498,1
995,fig-002499,1
995,fig-002500,1
995,fig-002501,1
997,fig-000741,1
1002,fig-002303,1
1002,fig-002304,1
1002,fig-002305,1
1011,fig-000327,1
1013,fig-001041,1
1015,fig-001280,1
1033,fig-001001,1
1036,fig-000129,1
1038,fig-000631,1
1041,fig-001118,1
1090,fig-000741,1
1090,fig-002308,2
1094,fig-000065,2
1101,fig-000748,1
1108,fig-001127,1
1112,fig-001875,1
1128,fig-001420,1
1138,fig-000622,1
1161,fig-000762,2
1171,fig-000406,5
1175,fig-000878,1
1191,fig-000875,1
1192,fig-000525,1
1194,fig-000501,1
1200,fig-000911,1
1214,fig-000718,1
1215,fig-001378,1
1250,fig-000582,1
1253,fig-000075,1
1274,fig-001362,1
1279,fig-001244,1
1281,fig-000018,1
1291,fig-000327,1
1298,fig-000078,1
1321,fig-000195,1
1321,fig-000464,1
1321,fig-000526,1
1321,fig-000629,1
1321,fig-000631,1
1321,fig-000802,1
1321,fig-002226,1
1321,fig-002229,3
1324,fig-000716,1
1325,fig-000073,1
1338,fig-000406,5
1360,fig-001332,1
1368,fig-001541,1
1387,fig-000065,1
1391,fig-000166,1
1394,fig-000511,1
1399,fig-000840,1
1399,fig-002446,1
1399,fig-002447,1
1399,fig-002448,1
1402,fig-000672,1
1405,fig-000263,1
1414,fig-000020,2
1419,fig-000207,1
1435,fig-000367,1
1436,fig-000415,1
1437,fig-000065,1
1454,fig-000113,1
1472,fig-000887,1
1478,fig-001511,1
1494,fig-001160,1
1498,fig-000624,1
1499,fig-000971,1
1503,fig-000654,1
1517,fig-001022,1
1531,fig-000346,1
1534,fig-000635,1
1555,fig-002431,1
1566,fig-002057,1
1566,fig-002543,1
1566,fig-002544,1
1566,fig-002545,1
1578,fig-001470,1
1579,fig-002482,1
1580,fig-001545,1
1585,fig-001184,2
1608,fig-000609,1
1611,fig-000409,1
1619,fig-000004,1
1630,fig-001804,1
1639,fig-001051,1
1646,fig-000885,1
1654,fig-000941,1
1655,fig-000813,1
1656,fig-001035,1
1661,fig-000558,1
1662,fig-000508,1
1669,fig-001007,1
1686,fig-000234,1
1702,fig-000297,1
1705,fig-001326,1
1710,fig-001008,1
1713,fig-000361,1
1736,fig-000030,1
1749,fig-002589,1
1749,fig-002590,1
1749,fig-002591,1
1756,fig-001203,1
1766,fig-001150,1
1772,fig-000141,1
1785,fig-000195,1
1785,fig-000359,1
1785,fig-000622,1
1785,fig-000631,1
1790,fig-001538,1
1796,fig-000020,1
1808,fig-001047,1
1809,fig-001254,1
1809,fig-002704,1
1821,fig-000614,1
1848,fig-000776,1
1856,fig-000110,1
1860,fig-000022,1
1864,fig-000770,1
1868,fig-001485,1
1875,fig-002585,1
1875,fig-002586,1
1880,fig-001259,1
1886,fig-000960,1
1889,fig-000349,1
1914,fig-001501,1
1922,fig-000742,1
1927,fig-000782,3
1934,fig-000127,1
1950,fig-001004,1
1952,fig-001161,1
1954,fig-000032,1
1962,fig-000413,1
1966,fig-000733,1
1968,fig-000948,1
1974,fig-001290,1
1976,fig-000064,1
1983,fig-000407,1
1985,fig-000565,1
1986,fig-000962,1
1993,fig-001143,1
2010,fig-000403,1
2013,fig-000201,1
2016,fig-001241,1
2046,fig-000443,1
2053,fig-001126,1
2059,fig-000800,1
2067,fig-000508,1
2085,fig-000025,1
2087,fig-001122,1
2096,fig-000205,1
2109,fig-000883,1
2112,fig-002711,1
2117,fig-000573,1
2118,fig-002256,1
2118,fig-002278,1
2118,fig-002292,1
2118,fig-002296,1
2125,fig-000020,1
2129,fig-000359,1
2129,fig-000464,1
2129,fig-000526,1
2129,fig-000629,1
2129,fig-000631,1
2129,fig-002226,1
2129,fig-002232,2
2144,fig-001108,1
2150,fig-000341,1
2162,fig-000725,1
2164,fig-000355,1
2176,fig-001527,1
2185,fig-001465,1
2201,fig-000004,1
2205,fig-000780,1
2209,fig-000373,1
2224,fig-000824,1
2228,fig-000371,1
2234,fig-000771,1
2241,fig-001085,1
2244,fig-000871,1
2247,fig-000671,1
2252,fig-000967,1
2252,fig-002440,1
2260,fig-000570,1
2261,fig-001199,1
2262,fig-001345,1
2272,fig-000250,1
2282,fig-000889,1
2285,fig-001282,1
2297,fig-001514,1
2314,fig-000371,1
2328,fig-001187,1
2334,fig-001090,1
2352,fig-001422,1
2359,fig-000132,1
2366,fig-000802,1
2368,fig-000633,1
2371,fig-000426,1
2371,fig-002723,1
2371,fig-002724,1
2371,fig-002725,1
2376,fig-000552,1
2385,fig-000939,1
2386,fig-000134,1
2388,fig-001170,1
2390,fig-000108,1
2393,fig-001168,1
2398,fig-000541,1
2399,fig-000331,1
2403,fig-001474,1
2416,fig-000602,1
2428,fig-000585,1
2431,fig-000900,1
2466,fig-000931,1
2472,fig-000503,2
2475,fig-000309,1
2479,fig-000169,1
2484,fig-000646,1
2485,fig-001252,1
2491,fig-000642,2
2492,fig-001273,1
2493,fig-000359,1
2494,fig-001171,1
2499,fig-001112,1
2523,fig-001131,1
2536,fig-002483,1
2548,fig-000280,1
2550,fig-001219,1
2566,fig-000731,1
2573,fig-000213,1
2573,fig-000417,1
2573,fig-000447,1
2573,fig-002577,1
2574,fig-000862,1
2578,fig-001058,1
2599,fig-001385,1
2603,fig-000662,1
2607,fig-001301,1
2615,fig-000965,1
2627,fig-000303,1
2627,fig-002330,1
2630,fig-000706,1
2639,fig-000742,1
2642,fig-000093,1
2642,fig-000096,1
2642,fig-000415,2
2651,fig-000855,1
2653,fig-000147,1
2668,fig-000891,1
2670,fig-000712,1
2691,fig-001164,1
2693,fig-001201,1
2694,fig-000004,1
2700,fig-001254,1
2709,fig-000879,1
2709,fig-002470,1
2712,fig-000961,1
2717,fig-002309,1
2717,fig-002310,1
2717,fig-002311,1
2726,fig-000372,1
2745,fig-000769,1
2748,fig-000284,1
2757,fig-000088,1
2759,fig-000076,1
2760,fig-000530,1
2764,fig-001417,1
2766,fig-000225,1
2768,fig-001270,1
2777,fig-000886,1
2778,fig-000742,1
2779,fig-001197,1
2799,fig-000827,1
2801,fig-000456,1
2822,fig-000411,1
2828,fig-001369,1
2841,fig-001262,1
2846,fig-000233,1
2846,fig-002334,1
2859,fig-000334,1
2870,fig-001283,1
2881,fig-000246,1
2887,fig-000803,1
2888,fig-001296,1
2925,fig-001357,1
2952,fig-001222,1
2959,fig-000467,1
2973,fig-001295,1
2985,fig-000895,1
2995,fig-000096,1
3016,fig-002248,1
3025,fig-000989,1
3037,fig-000583,1
3040,fig-000061,1
3042,fig-000224,1
3045,fig-000341,1
3057,fig-002485,1
3057,fig-002486,1
3057,fig-002487,1
3079,fig-000444,1
3090,fig-001495,1
3098,fig-001234,1
3102,fig-000655,1
3105,fig-000734,1
3106,fig-000377,1
3111,fig-000034,1
3111,fig-000657,1
3120,fig-001530,1
3121,fig-000708,1
3122,fig-000059,1
3143,fig-000237,5
3160,fig-000292,1
3167,fig-000618,1
3168,fig-000327,1
3168,fig-000748,1
3168,fig-002241,1
3168,fig-002242,1
3168,fig-002243,1
3173,fig-002428,1
3181,fig-000246,1
3184,fig-002727,1
3184,fig-002728,1
3188,fig-001089,1
3190,fig-001191,1
3193,fig-000759,2
3202,fig-000307,1
3204,fig-000190,1
3215,fig-001376,1
3218,fig-001521,1
3219,fig-002354,1
3219,fig-002355,1
3224,fig-001274,1
3230,fig-000584,1
3231,fig-000703,1
3235,fig-002264,1
3239,fig-000098,1
3262,fig-000641,1
3264,fig-000035,1
3274,fig-001191,1
3288,fig-001389,1
3297,fig-000030,1
3297,fig-000061,1
3297,fig-000749,1
3302,fig-000830,1
3310,fig-000098,1
3317,fig-000138,1
3320,fig-000021,1
3321,fig-000988,1
3331,fig-001342,1
3336,fig-000279,1
3347,fig-000866,1
3348,fig-000396,1
3350,fig-000454,1
3352,fig-000014,1
3356,fig-000098,1
3371,fig-002415,1
3371,fig-002416,1
3386,fig-000828,1
3388,fig-000543,1
3394,fig-000102,1
3396,fig-000742,3
3399,fig-001444,1
3403,fig-000362,1
3404,fig-000200,1
3413,fig-001534,1
3414,fig-000086,1
3416,fig-001382,1
3418,fig-001291,1
3420,fig-000667,1
3444,fig-000839,1
3445,fig-000085,1
3446,fig-001338,1
3453,fig-001425,1
3463,fig-000843,1
3465,fig-000856,1
3471,fig-000229,1
3473,fig-001390,1
3489,fig-001038,1
3490,fig-000998,1
3501,fig-001498,1
3505,fig-001257,1
3508,fig-001167,1
3509,fig-001070,1
3519,fig-000324,1
3531,fig-000906,1
3532,fig-000093,1
3540,fig-000428,1
3548,fig-000930,1
3561,fig-000621,1
3581,fig-001284,1
3582,fig-000123,1
3585,fig-000557,1
3589,fig-000581,1
3594,fig-000498,1
3598,fig-000424,1
3600,fig-000282,1
3602,fig-002349,1
3602,fig-002350,1
3602,fig-002351,1
3606,fig-000742,1
3609,fig-000056,1
3612,fig-000285,2
3619,fig-000625,1
3626,fig-001221,1
3627,fig-000967,1
3629,fig-000060,1
3647,fig-000341,2
3648,fig-000272,1
3653,fig-000219,1
3653,fig-002339,1
3653,fig-002340,1
3653,fig-002341,1
3662,fig-001094,1
3662,fig-002412,1
3662,fig-002413,1
3662,fig-002414,1
3686,fig-002254,1
3686,fig-002299,1
3698,fig-000415,2
3700,fig-001316,1
3710,fig-000358,1
3717,fig-001446,1
3720,fig-000452,1
3720,fig-002470,1
3725,fig-000150,1
3726,fig-000194,1
3727,fig-000061,1
3736,fig-000888,1
3742,fig-000739,1
3745,fig-000787,1
3747,fig-000631,1
3747,fig-002235,1
3756,fig-000159,1
3776,fig-000791,1
3786,fig-000690,1
3788,fig-000964,1
3794,fig-000243,1
3801,fig-002398,1
3801,fig-002399,1
3809,fig-000225,1
3831,fig-002267,1
3831,fig-002277,1
3838,fig-001302,1
3838,fig-002218,1
3838,fig-002219,1
3838,fig-002220,1
3846,fig-000389,1
3859,fig-001011,1
3864,fig-001265,1
3866,fig-000484,1
3870,fig-000361,1
3893,fig-000220,1
3899,fig-000359,1
3909,fig-000020,1
3915,fig-000640,1
3921,fig-002321,1
3925,fig-000982,1
3927,fig-002172,1
3927,fig-002173,1
3927,fig-002174,1
3928,fig-000400,1
3938,fig-001226,1
3945,fig-000953,1
3953,fig-001525,1
3954,fig-001477,1
3967,fig-000763,1
3985,fig-000133,1
3988,fig-000629,1
3988,fig-002227,1
3988,fig-002230,1
3990,fig-000407,1
3990,fig-002483,1
3990,fig-002484,1
3992,fig-001906,1
3992,fig-002508,1
3992,fig-002559,1
3994,fig-001395,1
3997,fig-000457,1
4003,fig-000323,1
4016,fig-000329,1
4026,fig-000915,1
4029,fig-000057,1
4034,fig-000253,1
4040,fig-001250,1
4043,fig-001528,1
4060,fig-000854,1
4063,fig-000893,1
4070,fig-000458,1
4073,fig-001554,1
4081,fig-000195,1
4081,fig-000464,1
4081,fig-000629,1
4081,fig-002224,1
4081,fig-002229,1
4093,fig-001240,1
4114,fig-000386,1
4120,fig-001548,1
4132,fig-000099,1
4138,fig-000008,1
4138,fig-000009,1
4138,fig-000010,1
4138,fig-000011,1
4138,fig-000012,1
4138,fig-000013,1
4153,fig-000185,1
4154,fig-001419,1
4156,fig-001023,1
4159,fig-000126,1
4164,fig-000777,1
4184,fig-002506,2
4185,fig-001142,1
4192,fig-001017,1
4195,fig-001176,1
4214,fig-000628,1
4219,fig-000319,1
4234,fig-000275,1
4239,fig-000534,1
4246,fig-001213,1
4268,fig-002156,1
4268,fig-002177,1
4268,fig-002178,1
4268,fig-002179,1
4268,fig-002183,1
4268,fig-002185,1
4270,fig-000720,1
4276,fig-001192,1
4286,fig-000499,1
4290,fig-001769,1
4290,fig-002751,1
4290,fig-002752,1
4290,fig-002753,1
4296,fig-000447,1
4296,fig-002511,1
4297,fig-001063,1
4303,fig-000833,1
4309,fig-001346,1
4322,fig-002386,1
4322,fig-002387,1
4329,fig-001460,1
4339,fig-000148,1
4361,fig-001195,1
4369,fig-000422,1
4369,fig-002578,1
4375,fig-000093,1
4381,fig-000182,1
4389,fig-000381,1
4391,fig-000838,1
4392,fig-002437,1
4402,fig-000415,1
4408,fig-000079,1
4412,fig-000486,1
4418,fig-000927,1
4422,fig-000750,1
4443,fig-001341,1
4444,fig-000375,1
4455,fig-000082,1
4464,fig-000534,1
4469,fig-000904,1
4480,fig-000868,1
4481,fig-000699,1
4482,fig-000084,1
4492,fig-000170,1
4500,fig-000376,1
4502,fig-002342,1
4502,fig-002343,1
4502,fig-002344,1
4516,fig-000083,1
4516,fig-000149,1
4516,fig-001490,1
4516,fig-002570,1
4538,fig-001229,1
4539,fig-000316,1
4545,fig-000061,1
4558,fig-001211,1
4578,fig-001135,1
4579,fig-000626,1
4584,fig-002370,1
4584,fig-002371,1
4587,fig-000752,1
4589,fig-000456,1
4589,fig-002331,1
4592,fig-000203,1
4596,fig-001427,1
4605,fig-000105,1
4607,fig-000378,1
4609,fig-000098,2
4612,fig-000658,1
4620,fig-001486,1
4624,fig-000518,1
4635,fig-000474,1
4646,fig-000691,1
4649,fig-000857,1
4652,fig-000113,1
4654,fig-000733,1
4663,fig-000359,1
4663,fig-001119,1
4663,fig-002224,1
4663,fig-002225,1
4663,fig-002229,2
4663,fig-002251,1
4663,fig-002252,1
4667,fig-000069,1
4669,fig-000479,1
4670,fig-000177,1
4676,fig-000489,1
4684,fig-001279,1
4686,fig-000192,1
4686,fig-002374,1
4686,fig-002375,1
4687,fig-000261,1
4698,fig-001512,1
4699,fig-000860,1
4701,fig-001027,1
4712,fig-000083,1
4712,fig-000712,1
4712,fig-000878,1
4732,fig-000773,1
4737,fig-000799,1
4744,fig-000611,1
4745,fig-000561,1
4746,fig-000616,1
4752,fig-001210,1
4754,fig-000342,1
4776,fig-000801,1
4779,fig-000493,1
4791,fig-001003,1
4811,fig-000482,1
4828,fig-000809,4
4844,fig-001537,1
4846,fig-001344,1
4847,fig-000146,1
4849,fig-000217,1
4854,fig-001297,1
4860,fig-001327,1
4862,fig-000676,1
4871,fig-000058,1
4884,fig-001162,1
4889,fig-001082,1
4893,fig-000208,1
4894,fig-000702,1
4895,fig-000822,1
4906,fig-000784,1
4909,fig-000004,1
4914,fig-000870,1
4928,fig-000357,1
4934,fig-000495,1
4938,fig-000258,1
4946,fig-002316,1
4946,fig-002319,1
4946,fig-002320,1
4946,fig-002323,1
4951,fig-000512,1
4953,fig-000285,1
4954,fig-000065,1
4959,fig-000596,1
4961,fig-002429,1
4961,fig-002430,1
4989,fig-000048,1
4990,fig-000184,1
5003,fig-000767,1
5004,fig-000187,2
5013,fig-000176,1
5018,fig-002360,1
5018,fig-002361,1
5018,fig-002362,1
5018,fig-002363,1
5021,fig-000317,1
5027,fig-000341,1
5052,fig-000882,1
5061,fig-000756,1
5067,fig-000817,1
5098,fig-000353,1
5104,fig-000291,1
5125,fig-000674,1
5128,fig-000127,1
5134,fig-000225,1
5138,fig-001180,1
5142,fig-000500,1
5146,fig-000339,1
5152,fig-002345,1
5152,fig-002346,1
5163,fig-001428,1
5164,fig-000894,1
5171,fig-000305,1
5173,fig-000630,1
5178,fig-001149,1
5180,fig-002156,1
5180,fig-002161,1
5180,fig-002192,1
5180,fig-002196,1
5180,fig-002197,1
5188,fig-001271,1
5191,fig-001209,1
5198,fig-000664,1
5202,fig-001178,1
5206,fig-001489,1
5208,fig-001159,1
5210,fig-000088,1
5222,fig-001451,1
5225,fig-000061,1
5232,fig-000548,1
5237,fig-000551,1
5243,fig-000407,1
5244,fig-001426,1
5251,fig-001049,1
5254,fig-000436,1
5263,fig-000994,1
5270,fig-000836,1
5273,fig-001459,1
5278,fig-001322,1
5293,fig-000426,1
5295,fig-001414,1
5309,fig-001002,1
5330,fig-001072,1
5332,fig-000206,1
5334,fig-000019,1
5336,fig-001066,1
5337,fig-001256,1
5339,fig-001496,1
5342,fig-000188,1
5344,fig-001220,1
5351,fig-000049,1
5368,fig-000575,1
5372,fig-001381,1
5374,fig-001010,1
5387,fig-001067,1
5390,fig-001078,1
5393,fig-000743,1
5395,fig-000488,1
5410,fig-000876,1
5417,fig-000260,1
5425,fig-001540,1
5431,fig-000256,1
5433,fig-000052,1
5437,fig-001239,1
5444,fig-002254,1
5444,fig-002285,1
5444,fig-002287,1
5444,fig-002288,1
5453,fig-001343,1
5454,fig-000620,1
5455,fig-001482,1
5472,fig-000745,1
5473,fig-000775,1
5482,fig-000192,1
5483,fig-000152,1
5484,fig-001367,1
5490,fig-000455,1
5490,fig-001366,1
5496,fig-001421,1
5502,fig-001190,1
5525,fig-001100,1
5530,fig-000744,1
5560,fig-000790,1
5561,fig-000485,1
5567,fig-000083,1
5587,fig-001165,1
5597,fig-001305,1
5601,fig-000145,1
5604,fig-000701,1
5607,fig-000674,1
5631,fig-000682,1
5632,fig-000912,1
5635,fig-000810,1
5638,fig-000845,1
5647,fig-000026,1
5651,fig-002260,1
5651,fig-002262,1
5651,fig-002263,1
5651,fig-002264,1
5651,fig-002265,1
5651,fig-002266,1
5655,fig-000940,1
5658,fig-001014,1
5662,fig-001299,1
5665,fig-001497,1
5672,fig-000520,1
5681,fig-000030,1
5691,fig-000452,1
5691,fig-000880,1
5700,fig-000319,1
5726,fig-000933,1
5734,fig-000156,1
5741,fig-000396,1
5745,fig-000318,1
5750,fig-002460,1
5750,fig-002461,1
5750,fig-002462,1
5750,fig-002465,1
5783,fig-000556,1
5784,fig-000695,1
5786,fig-000114,1
5789,fig-001260,1
5795,fig-000720,1
5799,fig-001028,1
5805,fig-001447,1
5806,fig-001769,1
5806,fig-002754,1
5806,fig-002755,1
5806,fig-002756,1
5806,fig-002757,1
5806,fig-002758,1
5806,fig-002759,1
5806,fig-002760,1
5807,fig-000884,1
5809,fig-000528,1
5821,fig-000745,1
5824,fig-000138,1
5827,fig-000394,1
5834,fig-001238,1
5842,fig-002431,1
5845,fig-000798,1
5849,fig-001306,1
5859,fig-000593,1
5862,fig-000236,4
5864,fig-001308,1
5893,fig-000070,1
5893,fig-000406,1
5896,fig-001298,1
